RegistryID,TitleOfWork,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude,LocationOnsite,Type,PrimaryMaterial,Ownership,URL,PhotoURL,PhotoCredits,Artists
1,Captain George Vancouver,1936,In place,"A full figure bronze statue of Captain George Vancouver stands on the north side of City Hall, pointing towards Vancouver harbour and holding a partially open scroll in his left hand. The figure commemorates the events of 1792, when Captain George, a representative of King George III of England, sailed into Burrard Inlet and charted the area.","A new city hall and a statue of Captain George Vancouver were commissioned to commemorate Vancouver's Golden Jubilee in 1936. The architect of the new City Hall at Strathcona Park on West 12th Avenue, Fred Townley, proposed the sculpture, commissioned by the Vancouver Canadian Club, be placed on the plaza on the north side of the building. Noted BC sculptor, Charles Marega, was commissioned (for about $5500) to create a life-size sculpture of the man who mapped the harbour in 1792 and after whom the city is named. Marega began by setting up 500 pounds of clay on a turntable in his Hornby Street Studio. From the clay model, he made a plaster cast which was then used to cast the finished work in ""Roman bronze"". It was cast at Ornamental Bronze, a foundry in Vancouver. The work was installed on August 20, 1936.The bronze figure standing atop the granite plinth is said to bear little physical resemblance to Captain George. The sculpture was copied from a maquette, which had been fashioned after a painting that was in turn, a copy from an original painting.An interesting conversation is recorded between Major Matthews, the City Archivist, and Townley. Matthews: ""Mr. Townley, the ""Sun"" newspaper wants to know how much the Vancouver statue cost and who paid for it.""Townley: ""What do they want to bring that up for? Leave sleeping dogs lie. I've been afraid that matter would come up, but it has not...why bring it up now? It was all in the contract; everything was above board; there's nothing to hide; but if it gets out what it cost, then some fool will start writing to the newspapers, or something, and complain of the waste of money; say it ought to have been given towards the support of some fool scheme of his own, the ""home for incurable dogs"", or some other idiotic thing"".Matthews: ""Alright; drop it, I don't want to know; the ""Sun"" is publishing a story on the statue, and I suppose they want to put the cost in.""Townley: ""Well, Charles Marega made it, and baby bonds paid for it...I don't know exactly what it cost; it would be hard to find out; part of it was in the stone work cost. Marega for $5000, and then there was the base; so much per square foot for the base, perhaps $500 for that...""The statue was cleaned in 2001, 65 years after its installation and in time for the city's 115th birthday. The bill for cost of cleaning was $5800, almost the same amount as the original statue cost. This sculpture is on the City of Vancouver's Heritage Inventory list and, as a proud homage to a great explorer, has stood the test of time.",Vancouver City Hall,453 West 12th Avenue,Mount Pleasant,49.26118500,-123.11391800,"North entrance, exterior, in front of stairs",Figure,bronze,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=1,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=1&ImageId=1,Barbara Cole,98
2,The Swimmer,1977,In place,"An abstract form representing the motion of swimming, this bronze sculpture is mounted on two poles in front of the Aquatic Centre.","Commissioned by Duncan McNab and Associates, architects, and the engineering firm working on the Aquatic Centre.",Vancouver Aquatic Centre,1050 Beach Avenue,West End,49.27699000,-123.13502900,Front entrance facing north,Sculpture,Silicon bronze,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=2,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=2&ImageId=2,Barbara Cole,264
3,George Cunningham Memorial Sundial,1967,In place,"A classic bronze sundial sits on top of a 4'5"" high rectangular granite pedestal engraved with abstract modernist geometric designs.  A second edition of the sundial was commissioned for the VanDusen Gardens around 1972.","Erected under the auspices of the Centennial Committee of Vancouver in cooperation with the Parks Board, the sculpture was presented to the City by Cunningham Drug Stores Ltd. whose first store was opened at Denman and Nelson Streets in 1911.  The inscription reads, "" I mark my hours by shadow, mayest thou mark thine by sunshine."" The sundial commemorates three English ""greenhorns"" - Samual Brighouse, John Morton, and William Hailstone who in 1862 filed the first land claim and planned the first home and industry in the then heavily wooded area now bounded by Burrard Inlet, Stanley Park, English Bay and Burrard Street to which they received title in 1867.",English Bay,Beach Avenue & Denman Street,West End,49.28757700,-123.14178700,In centre of public seating area,Sculpture,"bronze, stone, granite",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=3,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=3&ImageId=3,,41
4,Two Steel and Copper Fountains,1965,In place,Two copper ship-like abstract forms grace a pool of green water at this apartment dwelling.,,Beach Towers Apartments,1600 Beach Avenue,West End,49.28408000,-123.14221600,On west and east sides of the east tower,Fountain,"Steel & copper, mosaic tile",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=4,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=4&ImageId=4,,145
5,Untitled (Clydemont Centre),1949,In place,"An elegant figurative relief in nouveau modernist style depicts nature and industry and stands out against a corrugated background surface. The building was formerly the Vancouver Labour Temple. The image is based on the wheel of industry and the figures include people engaged in different kinds of work, airplanes, buildings, plants, birds, and animals on a background of sun rays.",,Clydemont Centre,307 West Broadway,Mount Pleasant,49.26326300,-123.11138900,Front Façade,Relief,Stone,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=5,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=5&ImageId=5,,93
6,Untitled,1968,In place,,,,625 Bute Street,Downtown,49.28792900,-123.12440000,Foyer,Sculpture,Paint,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=6,,,117
7,Sidewalk Mosaic,1965,In place,mosaic,,Mini Park,Burrard & Hastings Street,Downtown,49.28730500,-123.11700000,"N.E. corner on sidewalk, opposite Marine Building",Mosaic,"Rock, metal",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=7,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=7&ImageId=6,,195
8,Charles Bentall,1977,In place,This classic bust depicts the entrepreneur Charles Bentall who died in 1974.,,Bentall Bldg.,501 Burrard Street,Downtown,49.28682800,-123.11780000,"Between two towers, above fountain",Bust,bronze,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=8,,,241
9,Ksan Mural,1972,In place,"This beautiful 9-panel frieze was carved in red cedar and painted by five artists over a period of three months. It depicts  the Gitksan mythical character Weget (Man-Raven), who created our world through his mischievous activities. The Gitksan people live near the Bulkley and Skeena Rivers in north central BC. According to a brochure published by the Royal Bank, the 3 central panels represent various myths: In one, Raven disguises himself in the skin of a deer in order to steal fire from the humans (shown as small faces in the lower corners). In the second story, Raven goes through a hole in the sky to steal the sun. The image depicts the sun (central to the panel) clutched in his claws over the box he put it in. As the story goes, he dropped the box in his haste and that's how light came to the world. Other creatures (salmon and seal) are depicted around his wings. In the third panel, Raven attempts to capture a fish to eat. As the fish struggles to get away, his head becomes misshapen and that's how the bullhead fish came to be. The side panels represent specific totem creatures: the frog, the wolf, the killer whale, the owl, the human and the bear.",,Royal Bank,1025 West Georgia at Burrard,Downtown,49.28486700,-123.12120100,Mezzanine,Relief,Red cedar,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=9,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=9&ImageId=7,,109;138;223;224;232
10,Untitled,1954,In place,,,Mercantile Bank,540 Burrard Street,Downtown,49.28628900,-123.11850000,Inside,Mural,Painting on linen,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=10,,,145
11,Asclepius,1951,In place,,,College of Physicians & Surgeons of B.C.,1807 West 10th Avenue,Kitsilano,49.26286500,-123.14598500,"Exterior, second floor, S.E. corner",Relief,"concrete, steel",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=11,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=11&ImageId=8,(detail) Leonard Frank,93
12,Rainforest,1986,In place,"Rainforest is a tilted steel platform with 28 steel poles meant to represent a forest of trees and also the driving rain. There are  silhouettes of objects like and axe, cross saw, chairs, etc, interspersed among the poles.  Rainforest was loaned to The Reach Gallery in Abbotsford as part of its exhibition on trees.","Rainforest was designed in response to a call for public outdoor sculptures to be constructed and exhibited at Expo ‘86 in Vancouver. The piece was fabricated in Vanier Park during the summer of 1986 where visitors were invited to watch the construction process and interact with the artist.  The piece primarily consists of numerous parallel steel pipes intended to provide the sense of driving rain. Attached to many of these angled rain-like elements are shorter smaller pipes producing a simplified tree forms.   Interspersed among the pipe components are various objects associated with forestry; a crosscut saw, a baseball bat, a ladder, a house, all set at the identical angle to the tree branches.The intention is to merge the visual sense of driving rain with trees and objects associated with forestry. Excessive repetition causes the piece to appear both chaotic and ordered.  Hopefully viewers can focus on any one of, or all of these elements simultaneously.",On loan to The Reach Gallery in Abbotsford,,,,,,Sculpture,Steel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=12,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=12&ImageId=9,,35
13,Untitled,1959,In place,,,Queen Elizabeth Theatre,649 Cambie Street,Downtown,49.28053700,-123.11260000,Interior lounge,Sculpture,Metal & enamel,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=13,,,135
14,Untitled,1962,In place,,,Queen Elizabeth Playhouse,649 Cambie Street,Downtown,49.28055800,-123.11260000,"Interior mezzanine lounge, south wall ",Painting,Canvas,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=14,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=14&ImageId=10,Photo by Maxime Cyr-Morton - 2013,113
15,Cycle of Flowering,1959,Removed,,,Queen Elizabeth Theatre (Downtown),649 Cambie Street (Downtown),,49.28022200,-123.11287000,Restaurant,Mural,paint,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=15,,,132
16,Untitled,1970,Removed,,,Plaza 500 Hotel,Cambie & 12th Avenue,Mount Pleasant,49.26010400,-123.11546200,"Exterior, east side",Relief,"Concrete, glass",private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=16,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=16&ImageId=11,,30
17,Stations of the Cross,1964,In place,,,Holy Name Parish,4925 Cambie Street,South Cambie,49.24071900,-123.11911900,"Interior, stained glass windows, north and south sides",Sculpture,Lead,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=17,,,264
18,Gerald Grattan McGeer,1948,In place,This is a classic bronze bust of the former mayor of Vancouver in official regalia.,"Chuck Davis called Gerry McGeer a ""human bulldozer"" in an article in the Vancouver Sun  In his first week as mayor of Vancouer, he confiscated 1000 slot machines around the city. He was mayor during the1935 demonstration by unemployed workers in the downtown eastside and was instrumental in building city hall on its 12th Avenue site. He died during his second term as mayor in 1947. (Vancouver Sun, April 7, 2001,H5)",Vancouver City Hall,453 West 12th Avenue at Cambie,Mount Pleasant,49.26068700,-123.11371800,East of 12th Avenue entrance,Bust,Bronze,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=18,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=18&ImageId=12,Barbara Cole,20
19,Lovers II,1977,In place,,,Vancouver City Hall,453 West 12th Avenue at Cambie,Mount Pleasant,49.26143900,-123.11452200,Northwest lawn,Figure,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=19,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=19&ImageId=13,,244
20,Untitled (relief),,In place,The intricate exterior concrete wall relief stretches from the ground to the roof of this modern building.,,Lost Lagoon Terraces,845 Chilco Street,West End,49.29292800,-123.13935800,"Exterior, front wall, left of entrance",Relief,concrete,private,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=20,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=20&ImageId=14,Barbara Cole,18
